area;ciudad;id_vivienda;id_hogar;id_persona;periodo;hogar
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;2
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;2
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;2
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
1;10150;1.015E+15;1.015E+16;1.015E+18;202201;1
